USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   36120   4240 0                   0 S init
root             2     0       0      0 0                   0 S [kthreadd]
root             3     2       0      0 0                   0 S [ksoftirqd/0]
root             5     2       0      0 0                   0 S [kworker/0:0H]
root             7     2       0      0 0                   0 S [rcu_preempt]
root             8     2       0      0 0                   0 S [rcu_sched]
root             9     2       0      0 0                   0 S [rcu_bh]
root            10     2       0      0 0                   0 S [migration/0]
root            11     2       0      0 0                   0 S [lru-add-drain]
root            12     2       0      0 0                   0 S [pid_iostats_upd]
root            13     2       0      0 0                   0 S [watchdog/0]
root            14     2       0      0 0                   0 S [cpuhp/0]
root            15     2       0      0 0                   0 S [cpuhp/1]
root            16     2       0      0 0                   0 S [watchdog/1]
root            17     2       0      0 0                   0 S [migration/1]
root            18     2       0      0 0                   0 S [ksoftirqd/1]
root            20     2       0      0 0                   0 S [kworker/1:0H]
root            21     2       0      0 0                   0 S [cpuhp/2]
root            22     2       0      0 0                   0 S [watchdog/2]
root            23     2       0      0 0                   0 S [migration/2]
root            24     2       0      0 0                   0 S [ksoftirqd/2]
root            26     2       0      0 0                   0 S [kworker/2:0H]
root            27     2       0      0 0                   0 S [cpuhp/3]
root            28     2       0      0 0                   0 S [watchdog/3]
root            29     2       0      0 0                   0 S [migration/3]
root            30     2       0      0 0                   0 S [ksoftirqd/3]
root            32     2       0      0 0                   0 S [kworker/3:0H]
root            33     2       0      0 0                   0 S [cpuhp/4]
root            34     2       0      0 0                   0 S [watchdog/4]
root            35     2       0      0 0                   0 S [migration/4]
root            36     2       0      0 0                   0 S [ksoftirqd/4]
root            38     2       0      0 0                   0 S [kworker/4:0H]
root            39     2       0      0 0                   0 S [cpuhp/5]
root            40     2       0      0 0                   0 S [watchdog/5]
root            41     2       0      0 0                   0 S [migration/5]
root            42     2       0      0 0                   0 S [ksoftirqd/5]
root            44     2       0      0 0                   0 S [kworker/5:0H]
root            45     2       0      0 0                   0 S [cpuhp/6]
root            46     2       0      0 0                   0 S [watchdog/6]
root            47     2       0      0 0                   0 S [migration/6]
root            48     2       0      0 0                   0 S [ksoftirqd/6]
root            50     2       0      0 0                   0 S [kworker/6:0H]
root            51     2       0      0 0                   0 S [cpuhp/7]
root            52     2       0      0 0                   0 S [watchdog/7]
root            53     2       0      0 0                   0 S [migration/7]
root            54     2       0      0 0                   0 S [ksoftirqd/7]
root            56     2       0      0 0                   0 S [kworker/7:0H]
root            57     2       0      0 0                   0 S [kdevtmpfs]
root            59     2       0      0 0                   0 D [bbox_main]
root            62     2       0      0 0                   0 D [bbox_cleartext]
root            63     2       0      0 0                   0 S [softtimer_wake]
root            64     2       0      0 0                   0 S [softtimer_nowak]
root            65     2       0      0 0                   0 S [icc_shared]
root            66     2       0      0 0                   0 S [mailbox-10]
root            67     2       0      0 0                   0 S [mailbox-11]
root            68     2       0      0 0                   0 S [mailbox-12]
root            69     2       0      0 0                   0 S [mailbox-13]
root            70     2       0      0 0                   0 S [mailbox-14]
root            71     2       0      0 0                   0 S [mailbox-15]
root            72     2       0      0 0                   0 S [mailbox-16]
root            73     2       0      0 0                   0 S [mailbox-17]
root            74     2       0      0 0                   0 S [mailbox-18]
root            75     2       0      0 0                   0 S [mailbox-23]
root            76     2       0      0 0                   0 S [mailbox-25]
root            77     2       0      0 0                   0 S [mailbox-26]
root            78     2       0      0 0                   0 S [mailbox-27]
root            79     2       0      0 0                   0 S [mailbox-28]
root            80     2       0      0 0                   0 S [mailbox-29]
root            81     2       0      0 0                   0 S [ao-mailbox-0]
root            82     2       0      0 0                   0 S [init_wdt_wkq]
root            83     2       0      0 0                   0 S [khungtaskd]
root            84     2       0      0 0                   0 S [oom_reaper]
root            85     2       0      0 0                   0 S [writeback]
root            86     2       0      0 0                   0 S [kcompactd0]
root            87     2       0      0 0                   0 S [crypto]
root            88     2       0      0 0                   0 S [bioset]
root            89     2       0      0 0                   0 S [kblockd]
root            90     2       0      0 0                   0 S [io_latency_work]
root            91     2       0      0 0                   0 S [hisi_block_freq]
root            92     2       0      0 0                   0 S [spi1]
root            93     2       0      0 0                   0 S [scenepool]
root            94     2       0      0 0                   0 S [scenepool:shrin]
root            95     2       0      0 0                   0 S [smartpool]
root            96     2       0      0 0                   0 S [sys_heap]
root            97     2       0      0 0                   0 S [devfreq_wq]
root            98     2       0      0 0                   0 S [rdr_lpm3_thread]
root            99     2       0      0 0                   0 S [dsm_wq]
root           101     2       0      0 0                   0 S [cfg80211]
root           102     2       0      0 0                   0 S [watchdogd]
root           104     2       0      0 0                   0 S [process_ocp]
root           107     2       0      0 0                   0 S [dspdumplog]
root           108     2       0      0 0                   0 S [hifi_om_work_vo]
root           109     2       0      0 0                   0 S [hifi_om_work_au]
root           110     2       0      0 0                   0 S [hifi_om_work_vo]
root           111     2       0      0 0                   0 S [hifi_om_work_vo]
root           112     2       0      0 0                   0 S [hifi_om_work_sm]
root           113     2       0      0 0                   0 D [mailboxNormal]
root           114     2       0      0 0                   0 D [mailboxHigh]
root           122     2       0      0 0                   0 S [siqthread/0]
root           123     2       0      0 0                   0 S [ipihelper]
root           124     2       0      0 0                   0 S [agent_rpmb]
root           126     2       0      0 0                   0 S [tuid]
root           127     2       0      0 0                   0 D [smc_svc_thread]
root           128     2       0      0 0                   0 S [interface_msg_p]
root           153     2       0      0 0                   0 S [kswapd0]
root           154     2       0      0 0                   0 S [vmstat]
root           155     2       0      0 0                   0 S [ecryptfs-kthrea]
root           156     2       0      0 0                   0 S [cifsiod]
root           157     2       0      0 0                   0 S [cifsoplockd]
root           158     2       0      0 0                   0 S [HW_KERNEL_STP_M]
root           160     2       0      0 0                   0 S [HW_KERNEL_STP_S]
root           195     2       0      0 0                   0 S [kthrotld]
root           196     2       0      0 0                   0 S [fb0_dss_debug]
root           197     2       0      0 0                   0 S [fb0_ldi_underfl]
root           198     2       0      0 0                   0 S [fb0_hiace_end]
root           199     2       0      0 0                   0 S [masklayer_backl]
root           200     2       0      0 0                   0 S [fb0_display_eng]
root           201     2       0      0 0                   0 S [dss_underflow_d]
root           202     2       0      0 0                   0 S [k3_dss_sbl_work]
root           203     2       0      0 0                   0 S [hisifb0-layerbu]
root           204     2       0      0 0                   0 S [esd_check]
root           205     2       0      0 0                   0 S [aod_ud_fast_unb]
root           206     2       0      0 0                   0 S [acm_fwk_loop]
root           207     2       0      0 0                   0 D [acm_dmd_loop]
root           208     2       0      0 0                   0 S [kworker/u17:1]
root           209     2       0      0 0                   0 S [bioset]
root           210     2       0      0 0                   0 S [busy_idle_notif]
root           211     2       0      0 0                   0 S [bioset]
root           212     2       0      0 0                   0 S [bioset]
root           213     2       0      0 0                   0 S [bioset]
root           214     2       0      0 0                   0 S [bioset]
root           215     2       0      0 0                   0 S [bioset]
root           216     2       0      0 0                   0 S [bioset]
root           217     2       0      0 0                   0 S [bioset]
root           218     2       0      0 0                   0 S [bioset]
root           219     2       0      0 0                   0 S [bioset]
root           220     2       0      0 0                   0 S [bioset]
root           221     2       0      0 0                   0 S [bioset]
root           222     2       0      0 0                   0 S [bioset]
root           223     2       0      0 0                   0 S [bioset]
root           224     2       0      0 0                   0 S [bioset]
root           225     2       0      0 0                   0 S [bioset]
root           226     2       0      0 0                   0 S [bioset]
root           227     2       0      0 0                   0 S [bioset]
root           228     2       0      0 0                   0 S [bioset]
root           229     2       0      0 0                   0 S [bioset]
root           230     2       0      0 0                   0 S [bioset]
root           231     2       0      0 0                   0 S [bioset]
root           232     2       0      0 0                   0 S [bioset]
root           233     2       0      0 0                   0 S [bioset]
root           234     2       0      0 0                   0 S [bioset]
root           235     2       0      0 0                   0 S [pmic-otmp-wq]
root           236     2       0      0 0                   0 S [pmu-ocp-wq]
root           237     2       0      0 0                   0 S [uether]
root           238     2       0      0 0                   0 D [long_powerkey]
root           239     2       0      0 0                   0 S [rtc_nv_work]
root           241     2       0      0 0                   0 S [wdt_wq]
root           242     2       0      0 0                   0 S [kworker/0:1H]
root           243     2       0      0 0                   0 S [dm_bufio_cache]
root           244     2       0      0 0                   0 S [cfinteractive]
root           247     2       0      0 0                   0 S [cmdq_wq_resend]
